	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
AIPL1	0.494	0.043	0.066	0.646	0.518	
AIRE	0.134	0.0	0.042	0.0	1.0	
AJAP1	0.112	0.009	0.042	0.226	0.821	
AJUBA	533.913	0.162	0.081	2.011	0.044	0.097
AK1	823.575	-0.318	0.095	-3.331	0.001	0.003
AK2	5281.888	-0.06	0.043	-1.4	0.162	0.274
AK3	1532.674	-0.152	0.058	-2.613	0.009	0.025
AK4	2863.459	-0.392	0.06	-6.566	0.0	0.0
AK5	23.721	0.313	0.208	1.508	0.132	0.233
AK7	33.338	0.604	0.198	3.057	0.002	0.008
AK8	26.2	0.249	0.205	1.21	0.226	0.354
AKAP1	2889.587	-0.136	0.051	-2.65	0.008	0.023
AKAP10	1392.562	-0.067	0.059	-1.128	0.259	0.392
AKAP11	1494.988	-0.019	0.066	-0.285	0.776	0.854
AKAP12	3939.98	-0.012	0.051	-0.233	0.816	0.88
AKAP13	2319.028	0.069	0.071	0.982	0.326	0.466
AKAP14	2.494	0.113	0.139	0.813	0.416	
AKAP17A	0.0					
AKAP2	6.035	-0.141	0.181	-0.78	0.435	0.576
AKAP3	172.043	0.049	0.127	0.388	0.698	0.797
AKAP4	0.13	-0.01	0.042	-0.246	0.806	
AKAP5	566.801	0.328	0.086	3.821	0.0	0.001
AKAP6	104.102	0.335	0.156	2.148	0.032	0.074
AKAP7	332.819	-0.289	0.096	-3.021	0.003	0.009
AKAP8	1429.292	-0.255	0.062	-4.123	0.0	0.0
AKAP8L	2639.922	0.069	0.052	1.33	0.184	0.302
AKAP9	1886.585	0.254	0.082	3.097	0.002	0.007
AKD1	292.482	0.017	0.101	0.167	0.868	0.916
AKIP1	385.751	0.101	0.091	1.1	0.271	0.405
AKIRIN1	5041.426	-0.157	0.049	-3.203	0.001	0.005
AKIRIN2	2363.119	0.177	0.053	3.342	0.001	0.003
AKIRIN2-AS1	0.104	0.009	0.042	0.226	0.821	
AKNA	352.747	0.644	0.096	6.735	0.0	0.0
AKNAD1	1.82	0.022	0.122	0.177	0.86	
AKR1A1	1294.806	0.264	0.073	3.634	0.0	0.001
AKR1B1	2827.768	-0.258	0.064	-4.028	0.0	0.0
AKR1B10	0.86	0.092	0.088	1.044	0.297	
AKR1B15	1.684	-0.135	0.115	-1.177	0.239	
AKR1C1	33.371	0.112	0.196	0.569	0.569	0.695
AKR1C2	27.598	0.068	0.203	0.334	0.739	0.827
AKR1C3	29.487	0.191	0.2	0.954	0.34	0.481
AKR1C4	0.08	0.0	0.042	0.0	1.0	
AKR1CL1	0.134	0.0	0.042	0.0	1.0	
AKR1D1	0.303	-0.033	0.053	-0.615	0.539	
AKR1E2	0.0					
AKR7A2	852.04	0.123	0.07	1.763	0.078	0.154
AKR7A2P1	122.272	0.163	0.145	1.125	0.261	0.393
AKR7A3	16.525	0.087	0.208	0.421	0.674	0.779
AKR7L	25.156	-0.273	0.205	-1.332	0.183	0.302
AKT1	2714.28	-0.319	0.059	-5.415	0.0	0.0
AKT1S1	2612.236	-0.466	0.07	-6.657	0.0	0.0
AKT2	4206.726	-0.151	0.056	-2.705	0.007	0.02
AKT3	3308.652	0.086	0.055	1.551	0.121	0.218
AKTIP	240.29	-0.135	0.114	-1.188	0.235	0.364
ALAD	785.151	-0.042	0.071	-0.59	0.555	0.684
ALAS1	1542.431	0.08	0.065	1.24	0.215	0.34
ALAS2	0.215	-0.001	0.048	-0.011	0.991	
ALB	10.447	0.174	0.2	0.87	0.384	0.525
ALCAM	2916.71	0.235	0.073	3.231	0.001	0.005
ALDH16A1	791.729	-0.058	0.08	-0.719	0.472	0.61
ALDH18A1	3684.437	-0.137	0.049	-2.782	0.005	0.016
ALDH1A1	34.8	-0.284	0.195	-1.454	0.146	0.253
ALDH1A2	1136.337	0.205	0.066	3.111	0.002	0.007
ALDH1A3	351.622	0.634	0.093	6.824	0.0	0.0
ALDH1B1	1176.443	-0.261	0.065	-4.043	0.0	0.0
ALDH1L1	24.667	0.694	0.206	3.365	0.001	0.003
ALDH1L2	125.11	0.608	0.139	4.389	0.0	0.0
ALDH2	1266.186	-0.033	0.063	-0.523	0.601	0.721
ALDH3A1	23.749	-0.043	0.206	-0.207	0.836	0.894
ALDH3A2	2580.511	-0.247	0.054	-4.605	0.0	0.0
ALDH3B1	7.413	0.39	0.186	2.102	0.036	0.081
ALDH3B2	0.293	0.0	0.053	0.0	1.0	
ALDH4A1	447.944	0.035	0.091	0.389	0.698	0.797
ALDH5A1	1707.961	-0.116	0.057	-2.044	0.041	0.091
ALDH6A1	442.789	0.029	0.089	0.327	0.744	0.831
ALDH7A1	788.25	0.275	0.074	3.718	0.0	0.001
ALDH8A1	49.304	0.019	0.182	0.106	0.916	0.949
ALDH9A1	2543.728	-0.131	0.051	-2.579	0.01	0.028
ALDOA	19697.121	-0.159	0.059	-2.674	0.007	0.022
ALDOB	0.0					
ALDOC	567.394	-0.388	0.083	-4.664	0.0	0.0
ALG1	373.202	-0.747	0.101	-7.428	0.0	0.0
ALG10	499.558	0.15	0.088	1.705	0.088	0.17
ALG10B	1639.052	0.255	0.065	3.941	0.0	0.0
ALG11	203.888	-0.116	0.117	-0.993	0.321	0.46
ALG12	858.137	-0.222	0.07	-3.184	0.001	0.005
ALG13	1287.066	-0.157	0.063	-2.508	0.012	0.033
ALG14	331.873	-0.257	0.105	-2.448	0.014	0.038
ALG1L	102.211	0.121	0.152	0.796	0.426	0.567
ALG1L2	0.223	0.022	0.044	0.489	0.625	
ALG2	1100.088	-0.016	0.064	-0.255	0.799	0.869
ALG3	1076.567	-0.4	0.081	-4.969	0.0	0.0
ALG5	401.075	0.095	0.091	1.048	0.295	0.432
ALG6	948.082	-0.126	0.073	-1.729	0.084	0.163
ALG8	1638.508	-0.474	0.064	-7.381	0.0	0.0
ALG9	1030.895	-0.235	0.064	-3.689	0.0	0.001
ALK	0.73	-0.086	0.082	-1.056	0.291	
ALKBH1	668.28	-0.188	0.076	-2.483	0.013	0.035
ALKBH2	524.578	0.006	0.088	0.064	0.949	0.969
ALKBH3	688.616	0.125	0.073	1.713	0.087	0.167
ALKBH4	490.585	-0.359	0.088	-4.062	0.0	0.0
ALKBH5	5311.174	-0.391	0.051	-7.609	0.0	0.0
ALKBH6	457.559	-0.137	0.09	-1.519	0.129	0.229
ALKBH7	319.097	-0.137	0.105	-1.301	0.193	0.314
ALKBH8	834.193	-0.236	0.077	-3.069	0.002	0.007
ALLC	3.326	-0.0	0.152	-0.001	0.999	0.999
ALMS1	1351.623	0.012	0.076	0.154	0.877	0.924
ALMS1P	3.967	0.084	0.163	0.516	0.606	0.725
ALOX12	0.383	-0.001	0.061	-0.015	0.988	
ALOX12B	20.772	0.164	0.207	0.792	0.428	0.569
ALOX12P2	1.007	0.081	0.091	0.889	0.374	
ALOX15	6.514	0.188	0.183	1.031	0.302	0.44
ALOX15B	7.976	-0.159	0.19	-0.838	0.402	0.543
ALOX15P1	22.287	0.197	0.208	0.947	0.344	0.485
ALOX5	42.057	1.059	0.193	5.482	0.0	0.0
ALOX5AP	1.127	-0.034	0.096	-0.355	0.722	
ALOXE3	16.568	0.013	0.208	0.06	0.952	0.971
ALPI	0.191	-0.012	0.046	-0.267	0.789	
ALPK1	268.15	0.176	0.103	1.7	0.089	0.171
ALPK2	17.479	0.287	0.208	1.38	0.168	0.282
ALPK3	60.173	0.268	0.18	1.488	0.137	0.241
ALPL	112.956	0.1	0.143	0.699	0.485	0.622
ALPP	0.191	-0.012	0.046	-0.267	0.789	
ALPPL2	2.096	-0.028	0.13	-0.213	0.831	
ALS2	1494.217	-0.074	0.058	-1.289	0.198	0.319
ALS2CL	94.581	0.608	0.16	3.788	0.0	0.001
ALS2CR11	5.519	-0.017	0.175	-0.094	0.925	0.955
ALS2CR12	18.168	-0.408	0.208	-1.965	0.049	0.106
ALS2CR8	277.04	0.475	0.109	4.341	0.0	0.0
ALX1	199.278	0.175	0.12	1.456	0.145	0.252
ALX3	0.112	0.009	0.042	0.226	0.821	
ALX4	426.416	-0.337	0.087	-3.887	0.0	0.001
ALYREF	3403.064	-0.422	0.061	-6.937	0.0	0.0
AMACR	92.462	-0.042	0.156	-0.269	0.788	0.862
AMBN	39.928	-0.489	0.196	-2.495	0.013	0.034
AMBP	0.358	-0.041	0.06	-0.69	0.49	
AMBRA1	1464.711	-0.022	0.059	-0.378	0.705	0.801
AMD1	5086.235	0.31	0.051	6.052	0.0	0.0
AMDHD1	25.905	0.551	0.205	2.686	0.007	0.021
AMDHD2	238.714	-0.428	0.109	-3.915	0.0	0.0
AMELX	0.0					
AMELY	0.0					
AMFR	1689.373	-0.024	0.056	-0.431	0.667	0.774
AMH	1206.138	-0.596	0.074	-8.108	0.0	0.0
AMHR2	88.116	-0.108	0.161	-0.667	0.505	0.64
AMICA1	2.369	0.091	0.127	0.717	0.474	
AMIGO1	84.817	-0.049	0.16	-0.305	0.761	0.844
AMIGO2	149.338	0.541	0.133	4.074	0.0	0.0
AMIGO3	242.831	-0.79	0.119	-6.662	0.0	0.0
AMMECR1	1540.841	-0.297	0.068	-4.356	0.0	0.0
AMMECR1L	1779.712	-0.181	0.055	-3.306	0.001	0.004
AMN	0.405	0.021	0.062	0.336	0.737	
AMN1	242.592	0.378	0.107	3.528	0.0	0.002
AMOT	24418.129	-0.37	0.042	-8.746	0.0	0.0
AMOTL1	2703.835	-0.028	0.049	-0.573	0.567	0.693
AMOTL2	841.008	0.174	0.071	2.441	0.015	0.038
AMPD1	10.571	-0.394	0.2	-1.967	0.049	0.106
AMPD2	1287.555	0.383	0.063	6.074	0.0	0.0
AMPD3	177.135	0.027	0.123	0.219	0.827	0.888
AMPH	265.149	-0.01	0.106	-0.098	0.922	0.953
AMT	37.14	0.832	0.195	4.261	0.0	0.0
AMTN	0.0					
AMY1A	0.0					
AMY1B	0.0					
AMY1C	0.0					
AMY2A	0.111	-0.01	0.042	-0.246	0.806	
AMY2B	220.646	0.172	0.12	1.433	0.152	0.261
AMZ1	0.392	0.051	0.058	0.893	0.372	
AMZ2	2916.787	-0.264	0.058	-4.557	0.0	0.0
AMZ2P1	516.963	0.253	0.083	3.05	0.002	0.008
ANAPC1	1775.562	0.007	0.057	0.114	0.91	0.945
ANAPC10	378.135	0.276	0.093	2.965	0.003	0.01
ANAPC11	1310.265	-0.105	0.076	-1.384	0.166	0.281
ANAPC13	1731.772	0.018	0.061	0.294	0.769	0.85
ANAPC16	2168.769	-0.196	0.053	-3.712	0.0	0.001
ANAPC2	765.004	-0.089	0.073	-1.222	0.222	0.348
ANAPC4	891.396	-0.058	0.07	-0.832	0.405	0.547
ANAPC5	3856.337	-0.233	0.049	-4.744	0.0	0.0
ANAPC7	2792.626	-0.359	0.051	-7.014	0.0	0.0
ANG	51.196	0.292	0.182	1.601	0.109	0.201
ANGEL1	1261.494	-0.094	0.062	-1.533	0.125	0.225
ANGEL2	1543.704	-0.527	0.067	-7.901	0.0	0.0
ANGPT1	6.445	0.333	0.184	1.811	0.07	0.141
ANGPT2	13.781	-0.695	0.206	-3.377	0.001	0.003
ANGPT4	0.0					
ANGPTL1	2.624	-0.066	0.14	-0.474	0.636	0.75
ANGPTL2	16.853	0.318	0.208	1.534	0.125	0.224
ANGPTL3	0.0					
ANGPTL4	1.632	0.062	0.116	0.54	0.589	
ANGPTL5	0.104	0.009	0.042	0.226	0.821	
ANGPTL6	11.488	0.128	0.203	0.629	0.529	0.661
ANGPTL7	0.0					
ANK1	80.547	0.474	0.165	2.874	0.004	0.013
ANK2	1170.975	0.483	0.069	7.02	0.0	0.0
ANK3	1419.377	-0.061	0.064	-0.95	0.342	0.483
ANKAR	127.193	0.035	0.142	0.248	0.804	0.873
ANKDD1A	28.187	0.312	0.202	1.547	0.122	0.22
ANKFN1	0.955	0.006	0.091	0.063	0.95	
ANKFY1	2974.906	-0.212	0.052	-4.07	0.0	0.0
ANKH	1867.532	-0.058	0.056	-1.029	0.303	0.441
ANKHD1	384.521	0.181	0.092	1.979	0.048	0.103
ANKHD1-EIF4EBP3	45.194	-0.113	0.186	-0.604	0.546	0.675
ANKIB1	1547.701	-0.155	0.062	-2.506	0.012	0.033
ANKK1	3.377	0.168	0.152	1.107	0.268	0.402
ANKLE1	49.248	-0.076	0.185	-0.409	0.683	0.786
ANKLE2	2762.607	-0.197	0.05	-3.949	0.0	0.0
ANKMY1	173.697	-0.411	0.126	-3.254	0.001	0.004
ANKMY2	633.955	0.104	0.078	1.34	0.18	0.298
ANKRA2	624.037	0.287	0.076	3.781	0.0	0.001
ANKRD1	121.187	0.287	0.154	1.862	0.063	0.129
ANKRD10	953.911	-0.311	0.069	-4.536	0.0	0.0
ANKRD11	2442.252	-0.268	0.055	-4.878	0.0	0.0
ANKRD12	769.377	0.192	0.086	2.246	0.025	0.06
ANKRD13A	1333.993	-0.066	0.061	-1.082	0.279	0.414
ANKRD13B	867.446	-0.167	0.075	-2.229	0.026	0.062
ANKRD13C	1450.411	0.091	0.069	1.322	0.186	0.305
ANKRD13D	407.509	-0.11	0.095	-1.157	0.247	0.378
ANKRD16	186.342	0.032	0.123	0.259	0.796	0.867
ANKRD17	5343.156	0.096	0.049	1.976	0.048	0.104
ANKRD18A	151.167	0.771	0.132	5.842	0.0	0.0
ANKRD18B	127.531	0.283	0.146	1.935	0.053	0.113
ANKRD18DP	45.213	0.156	0.19	0.821	0.412	0.553
ANKRD19P	957.79	0.084	0.081	1.042	0.297	0.434
ANKRD2	2.435	-0.114	0.134	-0.847	0.397	
ANKRD20A1	0.0					
ANKRD20A11P	0.247	-0.015	0.05	-0.294	0.769	
ANKRD20A2	0.0					
ANKRD20A3	0.08	0.0	0.042	0.0	1.0	
ANKRD20A4	9.417	0.228	0.196	1.162	0.245	0.376
ANKRD20A5P	71.733	0.59	0.167	3.528	0.0	0.002
ANKRD20A8P	26.876	0.804	0.204	3.939	0.0	0.0
ANKRD20A9P	76.054	-0.044	0.163	-0.272	0.786	0.861
ANKRD22	2.359	-0.083	0.134	-0.619	0.536	
ANKRD23	174.551	-0.305	0.128	-2.39	0.017	0.043
ANKRD24	75.749	0.503	0.166	3.039	0.002	0.008
ANKRD26	716.189	0.082	0.092	0.892	0.372	0.514
ANKRD26P1	11.924	-0.367	0.202	-1.816	0.069	0.14
ANKRD26P3	0.761	-0.107	0.081	-1.324	0.186	
ANKRD27	1265.785	0.2	0.061	3.291	0.001	0.004
ANKRD28	2488.243	0.073	0.052	1.407	0.159	0.271
ANKRD29	40.742	0.243	0.191	1.271	0.204	0.327
ANKRD30A	0.184	0.011	0.045	0.242	0.809	
ANKRD30B	0.668	-0.051	0.077	-0.655	0.513	
ANKRD30BL	1.096	0.067	0.096	0.698	0.485	
ANKRD30BP2	0.0					
ANKRD31	52.66	0.078	0.188	0.417	0.676	0.781
ANKRD32	1220.209	0.025	0.069	0.37	0.711	0.806
ANKRD33	3.954	-0.041	0.159	-0.259	0.796	0.867
ANKRD33B	1885.252	0.073	0.059	1.23	0.219	0.345
ANKRD34A	164.486	-0.045	0.126	-0.355	0.723	0.815
ANKRD34B	97.721	0.612	0.151	4.052	0.0	0.0
ANKRD34C	0.518	-0.002	0.067	-0.033	0.974	
ANKRD35	2.806	0.015	0.143	0.101	0.919	0.951
ANKRD36	249.724	0.282	0.11	2.579	0.01	0.028
ANKRD36B	104.024	0.409	0.149	2.746	0.006	0.018
ANKRD36BP1	0.215	-0.001	0.048	-0.011	0.991	
ANKRD36BP2	3.356	-0.17	0.146	-1.164	0.245	0.375
ANKRD37	137.296	0.151	0.143	1.05	0.294	0.43
ANKRD39	288.072	-0.342	0.105	-3.264	0.001	0.004
ANKRD40	3739.711	-0.266	0.052	-5.126	0.0	0.0
ANKRD42	151.123	0.113	0.13	0.869	0.385	0.526
ANKRD44	215.314	0.207	0.115	1.807	0.071	0.142
ANKRD45	4.304	-0.05	0.165	-0.304	0.761	0.844
ANKRD46	793.553	0.06	0.074	0.815	0.415	0.557
ANKRD49	725.994	-0.037	0.074	-0.499	0.618	0.735
ANKRD5	437.137	-0.529	0.085	-6.191	0.0	0.0
ANKRD50	1524.955	0.484	0.064	7.52	0.0	0.0
ANKRD52	4097.527	-0.017	0.054	-0.315	0.753	0.838
ANKRD53	6.061	-0.226	0.179	-1.262	0.207	0.331
ANKRD54	718.624	-0.305	0.075	-4.072	0.0	0.0
ANKRD55	1.341	0.146	0.103	1.423	0.155	
ANKRD6	1275.031	-0.179	0.062	-2.871	0.004	0.013
ANKRD62P1-PARP4P3	0.984	-0.005	0.086	-0.053	0.957	
ANKRD63	17.278	0.104	0.208	0.499	0.618	0.735
ANKRD65	9.205	0.078	0.194	0.402	0.688	0.79
ANKRD7	13.872	0.529	0.206	2.572	0.01	0.028
ANKRD9	385.219	-0.041	0.1	-0.407	0.684	0.786
ANKS1A	1763.109	-0.206	0.059	-3.509	0.0	0.002
ANKS1B	42.596	-0.039	0.189	-0.207	0.836	0.894
ANKS3	358.716	-0.073	0.094	-0.778	0.437	0.578
ANKS4B	0.945	-0.135	0.091	-1.481	0.139	
ANKS6	1272.676	-0.161	0.065	-2.474	0.013	0.036
ANKUB1	0.303	-0.001	0.053	-0.013	0.99	
ANKZF1	893.645	-0.14	0.08	-1.739	0.082	0.16
ANLN	4600.021	0.122	0.055	2.216	0.027	0.064
ANO1	20.576	0.119	0.207	0.576	0.564	0.691
ANO10	705.757	-0.088	0.072	-1.234	0.217	0.343
ANO2	55.752	-0.118	0.179	-0.66	0.509	0.644
ANO3	0.383	0.031	0.053	0.589	0.556	
ANO4	85.69	0.316	0.159	1.987	0.047	0.102
ANO5	855.351	0.109	0.074	1.462	0.144	0.25
ANO6	1779.17	0.089	0.058	1.526	0.127	0.227
ANO7	84.06	-0.181	0.159	-1.134	0.257	0.389
ANO8	467.829	0.319	0.092	3.479	0.001	0.002
ANO9	0.814	0.111	0.082	1.351	0.177	
ANP32A	5357.06	-0.249	0.043	-5.756	0.0	0.0
ANP32A-IT1	10.964	0.436	0.202	2.157	0.031	0.072
ANP32AP1	1110.982	-0.263	0.064	-4.122	0.0	0.0
ANP32B	5097.012	-0.114	0.044	-2.61	0.009	0.026
ANP32C	588.043	-0.187	0.087	-2.138	0.033	0.075
ANP32D	57.851	-0.37	0.179	-2.07	0.038	0.087
ANP32E	6811.102	-0.151	0.06	-2.518	0.012	0.032
ANPEP	17.372	0.294	0.208	1.413	0.158	0.269
ANTXR1	1388.929	-0.105	0.06	-1.751	0.08	0.157
ANTXR2	643.175	0.34	0.081	4.2	0.0	0.0
ANTXRL	0.0					
ANXA1	218.888	0.446	0.118	3.77	0.0	0.001
ANXA10	0.13	-0.01	0.042	-0.246	0.806	
ANXA11	1650.084	-0.168	0.069	-2.425	0.015	0.04
ANXA13	0.0					
ANXA2	694.587	-0.215	0.092	-2.332	0.02	0.049
ANXA2P1	79.309	-0.216	0.168	-1.29	0.197	0.319
ANXA2P2	2133.253	-0.147	0.055	-2.691	0.007	0.021
ANXA2P3	54.778	0.131	0.18	0.729	0.466	0.605
ANXA3	281.481	-0.186	0.101	-1.842	0.066	0.134
ANXA4	373.598	0.35	0.098	3.563	0.0	0.002
ANXA5	5123.511	0.325	0.046	7.126	0.0	0.0
ANXA6	2547.886	0.074	0.058	1.274	0.203	0.326
ANXA7	1936.174	-0.029	0.054	-0.542	0.588	0.711
ANXA8	0.0					
ANXA8L1	0.0					
ANXA8L2	0.0					
ANXA9	15.589	0.104	0.207	0.502	0.616	0.734
AOAH	1.467	-0.047	0.111	-0.42	0.674	
AOC2	312.155	-0.011	0.104	-0.108	0.914	0.948
AOC3	148.942	-0.05	0.136	-0.368	0.713	0.807
AOC4	4.078	-0.027	0.158	-0.168	0.866	0.916
AOX1	4.381	-0.092	0.164	-0.559	0.576	0.701
AOX2P	0.655	-0.07	0.076	-0.922	0.357	
AP1AR	1136.058	0.104	0.063	1.646	0.1	0.188
AP1B1	3922.144	-0.427	0.054	-7.882	0.0	0.0
AP1B1P1	0.606	0.001	0.071	0.008	0.993	
AP1G1	3145.766	-0.29	0.051	-5.701	0.0	0.0
AP1G2	681.846	-0.21	0.103	-2.043	0.041	0.091
AP1M1	2142.363	-0.264	0.064	-4.119	0.0	0.0
AP1M2	3.902	0.165	0.162	1.02	0.308	0.445
AP1S1	1132.398	-0.301	0.071	-4.235	0.0	0.0
AP1S2	1232.655	0.448	0.063	7.093	0.0	0.0
AP1S3	730.377	-0.092	0.078	-1.176	0.239	0.369
AP2A1	2223.776	-0.145	0.061	-2.378	0.017	0.044
AP2A2	2243.955	-0.227	0.062	-3.668	0.0	0.001
AP2B1	8620.675	-0.379	0.049	-7.71	0.0	0.0
AP2M1	6363.089	-0.216	0.057	-3.774	0.0	0.001
AP2S1	3306.29	-0.371	0.075	-4.976	0.0	0.0
AP3B1	2222.572	-0.231	0.053	-4.353	0.0	0.0
AP3B2	134.889	0.128	0.141	0.904	0.366	0.507
AP3D1	6536.057	-0.355	0.05	-7.059	0.0	0.0
AP3M1	3657.635	-0.228	0.049	-4.608	0.0	0.0
AP3M2	885.627	-0.202	0.071	-2.857	0.004	0.013
AP3S1	1403.637	-0.072	0.066	-1.096	0.273	0.408
AP3S2	108.12	-0.216	0.156	-1.387	0.166	0.28
AP4B1	706.973	0.151	0.072	2.099	0.036	0.081
AP4E1	805.628	-0.267	0.082	-3.249	0.001	0.004
AP4M1	276.446	0.076	0.105	0.725	0.468	0.607
AP4S1	252.177	-0.621	0.113	-5.482	0.0	0.0
AP5B1	674.325	0.086	0.075	1.143	0.253	0.385
APAF1	1763.167	-0.068	0.06	-1.128	0.259	0.392
APBA1	133.544	0.083	0.135	0.615	0.539	0.669
APBA2	608.167	-0.131	0.082	-1.599	0.11	0.202
APBA3	298.591	-0.012	0.105	-0.112	0.911	0.945
APBB1	1545.875	-0.102	0.072	-1.416	0.157	0.267
APBB1IP	2.62	-0.016	0.132	-0.124	0.901	0.94
APBB2	1021.567	0.366	0.065	5.646	0.0	0.0
APBB3	636.34	-0.299	0.082	-3.634	0.0	0.001
APC	2434.346	0.104	0.063	1.644	0.1	0.188
APC2	49.095	0.124	0.192	0.647	0.517	0.651
APCDD1	94.911	0.363	0.152	2.385	0.017	0.044
APCDD1L	0.247	-0.015	0.05	-0.294	0.769	
APCS	0.0					
APEH	1373.925	0.469	0.064	7.35	0.0	0.0
APEX1	3458.909	-0.576	0.061	-9.373	0.0	0.0
APEX2	779.19	-0.319	0.076	-4.174	0.0	0.0
APH1A	4190.417	-0.368	0.059	-6.259	0.0	0.0
APH1B	412.08	-0.079	0.091	-0.868	0.386	0.527
API5	3948.979	-0.281	0.053	-5.337	0.0	0.0
APIP	509.1	0.145	0.09	1.606	0.108	0.2
APITD1	324.67	-0.28	0.099	-2.818	0.005	0.015
APITD1-CORT	2.714	-0.22	0.138	-1.597	0.11	0.202
APLF	114.515	0.13	0.144	0.904	0.366	0.507
APLN	20.611	0.168	0.208	0.807	0.42	0.561
APLNR	3.109	0.066	0.145	0.457	0.648	0.759
APLP1	493.934	0.054	0.094	0.574	0.566	0.692
APLP2	8392.25	0.606	0.05	12.125	0.0	0.0
APOA1	4.148	0.062	0.155	0.398	0.691	0.792
APOA1BP	2047.458	-0.216	0.07	-3.083	0.002	0.007
APOA2	1.349	0.174	0.105	1.653	0.098	
APOA4	0.08	0.0	0.042	0.0	1.0	
APOA5	0.112	0.009	0.042	0.226	0.821	
APOB	0.08	0.0	0.042	0.0	1.0	
APOBEC1	0.0					
APOBEC2	0.08	0.0	0.042	0.0	1.0	
APOBEC3A	0.0					
APOBEC3B	123.034	0.253	0.141	1.797	0.072	0.145
APOBEC3C	536.062	0.026	0.088	0.296	0.768	0.849
APOBEC3D	64.871	0.17	0.173	0.982	0.326	0.466
APOBEC3F	272.913	0.277	0.105	2.629	0.009	0.024
APOBEC3G	54.785	0.765	0.178	4.289	0.0	0.0
APOBEC3H	14.301	0.397	0.205	1.934	0.053	0.113
APOBEC4	0.0					
APOBR	10.921	0.252	0.202	1.248	0.212	0.337
APOC1	230.391	0.352	0.118	2.982	0.003	0.01
APOC1P1	10.757	0.101	0.202	0.499	0.618	0.735
APOC2	0.0					
APOC3	0.0					
APOC4	0.0					
APOC4-APOC2	0.08	0.0	0.042	0.0	1.0	
APOD	11.236	-0.044	0.2	-0.218	0.828	0.888
APOE	77.201	0.309	0.171	1.807	0.071	0.142
APOF	0.13	-0.01	0.042	-0.246	0.806	
APOH	0.216	0.025	0.048	0.525	0.599	
APOL1	0.438	0.041	0.064	0.648	0.517	
APOL2	469.562	0.044	0.085	0.524	0.601	0.721
APOL3	0.895	0.007	0.085	0.079	0.937	
APOL4	1.617	-0.157	0.116	-1.356	0.175	
APOL5	0.0					
APOL6	9.087	0.28	0.195	1.436	0.151	0.26
APOLD1	291.557	0.33	0.1	3.315	0.001	0.004
APOM	45.595	0.316	0.189	1.673	0.094	0.179
APOO	337.527	0.016	0.1	0.163	0.871	0.919
APOOL	1412.823	0.034	0.062	0.551	0.581	0.705
APOPT1	525.936	-0.002	0.082	-0.023	0.982	0.989
APP	6965.309	0.272	0.051	5.349	0.0	0.0
APPBP2	1964.61	-0.078	0.058	-1.331	0.183	0.302
APPL1	2768.634	-0.094	0.058	-1.637	0.102	0.19
APPL2	821.184	0.09	0.075	1.195	0.232	0.361
APRT	1491.647	0.153	0.07	2.184	0.029	0.068
APTX	665.256	-0.036	0.073	-0.498	0.618	0.736
AQP1	14.69	0.508	0.206	2.461	0.014	0.037
AQP10	11.151	0.087	0.201	0.432	0.665	0.773
AQP11	25.919	0.044	0.205	0.215	0.83	0.89
AQP12A	0.0					
AQP12B	0.0					
AQP2	0.0					
AQP3	124.343	0.128	0.148	0.868	0.385	0.527
AQP4	77.367	0.397	0.171	2.314	0.021	0.051
AQP5	0.335	0.044	0.051	0.854	0.393	
AQP6	17.357	0.192	0.208	0.926	0.355	0.495
AQP7	1.313	-0.145	0.104	-1.397	0.162	
AQP7P1	0.364	-0.019	0.056	-0.332	0.74	
AQP7P3	0.0					
AQP8	1.287	-0.035	0.102	-0.345	0.73	
AQP9	0.104	0.009	0.042	0.226	0.821	
AQPEP	11.22	-0.024	0.198	-0.12	0.904	0.942
AQR	1448.764	0.001	0.064	0.023	0.982	0.989
AR	11.865	0.128	0.204	0.631	0.528	0.661
ARAF	1593.791	-0.125	0.064	-1.942	0.052	0.111
ARAP1	1504.103	-0.11	0.063	-1.747	0.081	0.158
ARAP2	475.382	0.184	0.092	1.993	0.046	0.101
ARAP3	234.995	0.822	0.123	6.679	0.0	0.0
ARC	220.482	-0.382	0.124	-3.087	0.002	0.007
ARCN1	8414.835	-0.287	0.045	-6.341	0.0	0.0
AREG	0.654	0.053	0.077	0.68	0.497	
ARF1	12891.251	-0.032	0.047	-0.689	0.491	0.627
ARF3	4417.537	-0.291	0.051	-5.671	0.0	0.0
ARF4	3304.55	0.241	0.047	5.151	0.0	0.0
ARF5	2610.174	-0.353	0.059	-5.983	0.0	0.0
ARF6	3175.11	0.076	0.051	1.496	0.135	0.238
ARFGAP1	1691.54	0.07	0.059	1.186	0.236	0.365
ARFGAP2	1622.94	-0.276	0.058	-4.759	0.0	0.0
ARFGAP3	1477.939	0.279	0.067	4.148	0.0	0.0
ARFGEF1	1300.533	0.013	0.063	0.212	0.832	0.891
ARFGEF2	2197.032	-0.445	0.054	-8.305	0.0	0.0
ARFIP1	994.257	0.478	0.08	6.007	0.0	0.0
ARFIP2	2013.342	-0.457	0.064	-7.106	0.0	0.0
ARFRP1	447.947	-0.333	0.088	-3.801	0.0	0.001
ARG1	0.0					
ARG2	906.258	0.298	0.068	4.373	0.0	0.0
ARGFX	0.08	0.0	0.042	0.0	1.0	
ARGFXP2	0.0					
